region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011.0,percent,3.8880000106621094e-08,0.12421490578869465,0.13338705979848703,0.5245454545454545,0.6151468684874957,0.30321869481112085,0.7938545311751493,0.9714244680325373,0.49806903250774737,0.49199017344204266,0.5758928571428572,0.5016949298041086
Australia,Historical,EV sales share,Cars,EV,2011.0,percent,6.49880013484741e-07,0.6975437052446293,0.17296453788349925,0.28909090909090907,0.29005924587499365,0.20056384262094715,0.6835443037974683,0.829310931857772,0.5350233488992661,1.0,0.6651785714285714,0.6297211330719372
Australia,Historical,EV sales,Cars,BEV,2011.0,Vehicles,0.004899999880587996,0.5699083890066808,0.16780225813328026,0.3418181818181818,0.5997718895606414,0.31961429523815815,0.17721518987341772,0.5493448105184685,0.24616410940627076,0.8000000000000002,0.9330357142857142,0.7777866688005122
Australia,Historical,EV stock,Cars,BEV,2011.0,Vehicles,0.004899999880587996,0.5016485524683177,0.813087226910653,0.8809090909090909,0.37159322503255415,0.4014495890524131,0.430379746835443,0.3436162206364531,0.2615076717811874,0.4,0.9330357142857142,0.5554733135952629
Australia,Historical,EV stock,Cars,BEV,2012.0,Vehicles,0.021999999882639995,0.8184782173860864,0.240074174636346,0.9609090909090908,0.48946806347177024,0.3094899326920621,0.7848101265822784,0.863614701025694,0.2635090060040026,1.0,0.9776785714285714,0.05888413219172601
Australia,Historical,EV stock share,Cars,EV,2012.0,percent,2.3988001142394104e-07,0.9625555066607993,0.7201661914067113,0.8481818181818181,0.37888744366969934,0.41088419471400617,0.16455696202531644,0.29304895926683106,0.16277518345563702,0.20000000000000007,0.04017857142857145,0.6773025526126271
Australia,Historical,EV stock,Cars,PHEV,2012.0,Vehicles,0.007999999880959995,0.09737168460215229,0.8096457070771738,0.7454545454545454,0.27392300643205686,0.33635873822747286,0.8101265822784809,0.45766787618764393,0.16677785190126748,1.0,0.7410714285714284,0.30750380091221896
Australia,Historical,EV sales,Cars,PHEV,2012.0,Vehicles,0.007999999880959995,0.37658519022282677,0.46893524356272087,0.43454545454545457,0.5700702257246729,0.48205600565864537,0.430379746835443,0.44404969032476194,0.006004002668445585,0.6,0.36160714285714285,0.9478874929983195
Australia,Historical,EV sales,Cars,PHEV,2013.0,Vehicles,0.009999999881199996,0.03772452694323325,0.41903320597727073,0.5032500755729759,0.3063660417065057,0.24645249604052744,0.5822784810126582,0.5336930391421569,0.050033355570380245,0.6,0.41964285714285715,0.9288629271025046
Australia,Historical,EV stock,Cars,PHEV,2013.0,Vehicles,0.017999999882159997,0.376765211825419,0.30890457130593246,0.4236363636363636,0.2434684006421019,0.1904394800748511,0.2784810126582278,0.5555269146952437,0.8632421614409606,0.20000000000000007,0.40178571428571425,0.6643794510682564
